timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/07/16 11:42:53.824, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:42:54.825, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:42:55.826, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:42:56.827, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:42:57.828, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:42:58.829, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:42:59.830, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:00.831, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:01.832, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:02.833, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:03.834, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:04.835, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:05.836, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:06.837, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:07.838, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:08.839, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:09.840, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:10.841, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:11.842, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:12.843, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:13.844, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:14.845, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:15.846, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:16.847, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:17.848, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:18.849, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:19.850, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:20.851, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:21.852, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:22.853, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:23.853, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:24.854, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:25.855, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:26.856, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:27.857, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:28.858, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:29.859, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:30.860, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:31.861, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:32.862, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:33.863, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:34.864, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:35.865, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:36.866, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:37.867, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:38.868, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:39.870, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:40.871, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:41.872, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:42.873, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:43.874, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:44.875, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:45.876, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:46.877, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:47.878, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:48.879, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:49.880, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:50.881, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:51.882, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:52.883, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:53.884, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:54.885, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:55.886, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:56.887, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:57.888, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:58.889, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:43:59.889, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:00.890, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:01.891, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:02.892, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:03.893, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:04.894, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:05.895, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:06.896, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:07.897, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:08.898, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:09.899, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:10.901, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:11.902, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:12.903, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:13.904, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:14.905, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:15.906, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:16.907, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:17.908, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:18.909, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:19.910, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:20.911, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:21.912, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:22.913, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:23.914, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:24.915, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:25.916, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:26.917, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:27.918, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:28.919, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:29.920, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:30.921, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:31.922, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:32.923, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:33.924, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:34.925, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:35.926, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:36.927, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:37.928, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:38.929, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:39.930, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:40.931, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:41.932, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:42.933, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:43.934, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:44.935, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:45.936, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:46.937, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:47.938, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:48.939, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:49.940, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:50.941, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:51.942, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:52.943, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:53.944, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:54.945, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:55.946, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:56.947, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:57.948, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:58.949, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:44:59.950, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:00.951, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:01.952, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:02.953, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:03.954, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:04.955, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:05.956, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:06.957, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:07.958, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:08.958, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:09.959, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:10.960, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:11.963, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:12.964, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:13.965, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:14.966, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:15.967, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:16.968, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:17.969, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:18.970, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:19.971, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:20.972, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:21.973, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:22.974, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:23.975, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:24.976, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:25.977, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:26.978, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:27.979, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:28.980, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:29.981, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:30.981, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:45:31.982, Quadro RTX 8000, 0 %, 0 %, 3 MiB
